type_code,event_id,dates,event,url
I,7165,May 18 - May 19 2015,OSAA-US Bank-Les Schwab Tires State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=7165
I,7256,Apr 18 - Apr 19 2015,SJGT Kinderlou Forest Junior Classic,https://score.golfstat.com/eventlist.cfm?type=I&eventid=7256
I,6929,Apr 02 - Apr 04 2015,Palmetto High School Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=6929
I,6707,Dec 27 - Dec 30 2014,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=6707
I,6698,Dec 06 - Dec 07 2014,SJGT Tournament of Champions - 2014,https://score.golfstat.com/eventlist.cfm?type=I&eventid=6698
I,5419,Oct 13 - Oct 14 2014,Wisconsin Girls State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=5419
I,6351,Oct 09 - Oct 11 2014,Leachman Buick-GMC-Cadillac/KHSAA Boys State Golf,https://score.golfstat.com/eventlist.cfm?type=I&eventid=6351
I,6352,Oct 06 - Oct 08 2014,Leachman Buick-GMC-Cadillac/KHSAA Girls State Golf,https://score.golfstat.com/eventlist.cfm?type=I&eventid=6352
I,4912,Jun 17 - Jun 18 2014,78th Indiana Boys High School State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4912
I,4915,Jun 09 - Jun 11 2014,Connecticut State Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4915
I,4774,Jun 09 - Jun 10 2014,2014 Wisconsin Boys State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4774
I,4775,May 19 - May 19 2014,2014 GHSA State Golf Champions presented by E-Z-Go,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4775
I,4835,May 19 - May 20 2014,OSAA-US Bank-Les Schwab Tires State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4835
I,4772,Apr 17 - Apr 19 2014,Palmetto High School Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4772
I,4516,Dec 27 - Dec 30 2013,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4516
I,4501,Nov 11 - Nov 30 2013,High School Test,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4501
I,4111,Oct 14 - Oct 15 2013,Wisconsin Girls State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4111
I,4019,Oct 10 - Oct 12 2013,Leachman Buick-GMC-Cadillac/KHSAA Girls State Golf,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4019
I,4018,Oct 07 - Oct 09 2013,Leachman Buick-GMC_Cadillac/KHSAA Boys State Golf,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4018
I,4407,Oct 04 - Oct 05 2013,41st Indiana High School Girls State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4407
I,3891,Jun 11 - Jun 12 2013,77th Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3891
I,3815,Jun 03 - Jun 04 2013,2013 Wisconsin Boys State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3815
I,3816,Jun 03 - Jun 10 2013,Connecticut State Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3816
I,3882,May 13 - May 14 2013,OSAA-US Bank-Les Schwab Tires State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3882
I,3684,Mar 28 - Mar 30 2013,Palmetto High School Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3684
I,3544,Dec 27 - Dec 30 2012,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3544
I,3344,Oct 08 - Oct 09 2012,Wisconsin Girls State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3344
I,3384,Oct 05 - Oct 06 2012,Leachman Buick-GMC-Cadillac/KHSAA Boys State Golf,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3384
I,3385,Oct 02 - Oct 03 2012,Leachman Buick-GMC-Cadillac/KHSAA Girls State Golf,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3385
I,3331,Sep 28 - Sep 29 2012,40th Indiana High School Girls State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3331
I,3322,Sep 22 - Sep 22 2012,Michigan Girls High School Golf Classic,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3322
I,2987,Jun 12 - Jun 13 2012,76th Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2987
I,2984,Jun 04 - Jun 05 2012,2012 Wisconsin Boys State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2984
I,2966,May 14 - May 15 2012,OSAA-US Bank-Les Schwab Tires State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2966
I,2920,Apr 30 - May 01 2012,Texas UIL State Golf Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2920
I,2822,Apr 05 - Apr 07 2012,Palmetto High School Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2822
I,2710,Dec 27 - Dec 30 2011,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2710
I,2334,Oct 10 - Oct 11 2011,Wisconsin Girls State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2334
I,2567,Oct 07 - Oct 08 2011,Leachman Buick-GMC-Cadillac/KHSAA Girls State Golf,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2567
I,2568,Oct 04 - Oct 05 2011,Leachman Buick-GMC-Cadillac/KHSAA Boys State Golf,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2568
I,2547,Sep 30 - Oct 01 2011,39th Indiana High School Girls State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2547
I,2268,Jun 14 - Jun 15 2011,75th Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2268
I,2267,Jun 06 - Jun 07 2011,2011 Wisconsin Boys State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2267
I,2238,May 16 - May 17 2011,OSAA-US Bank-Les Schwab Tires State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2238
I,2239,May 09 - May 13 2011,Texas UIL State Golf Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2239
I,2149,Apr 21 - Apr 23 2011,Palmetto High School Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2149
I,2048,Dec 27 - Dec 30 2010,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2048
I,1982,Oct 11 - Oct 12 2010,Wisconsin Girls State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1982
I,1814,Oct 08 - Oct 09 2010,Leachman/KHSAA Boys' State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1814
I,1815,Oct 05 - Oct 06 2010,Leachman/KHSAA Girls State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1815
I,1981,Oct 01 - Oct 02 2010,38th Indiana High School Girls State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1981
I,1669,Jun 15 - Jun 16 2010,74th Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1669
I,1661,Jun 07 - Jun 08 2010,2010 Wisconsin Boys' State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1661
I,1659,May 17 - May 18 2010,OSAA-US Bank-Les Schwab Tires State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1659
I,1660,May 10 - May 14 2010,Texas UIL State Golf Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1660
I,1590,Apr 01 - Apr 03 2010,Palmetto High School Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1590
I,1555,Dec 27 - Dec 30 2009,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1555
I,1473,Oct 12 - Oct 13 2009,Wisconsin Girls State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1473
I,1451,Oct 09 - Oct 10 2009,Leachman/KHSAA Girls' State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1451
I,1450,Oct 06 - Oct 07 2009,Leachman/KHSAA Boys' State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1450
I,1472,Oct 02 - Oct 03 2009,37th Indiana High School Girls State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1472
I,1263,Jun 16 - Jun 17 2009,73rd Annual Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1263
I,1179,Jun 08 - Jun 09 2009,2009 Wisconsin Boys' State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1179
I,1252,May 18 - May 19 2009,OSAA US Bank Les Schwab Tires State Champ.,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1252
I,1254,Apr 17 - Apr 18 2009,Tri-State Invitational,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1254
I,1158,Dec 27 - Dec 30 2008,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1158
I,1080,Oct 13 - Oct 14 2008,Wisconsin Girls' State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1080
I,1079,Oct 10 - Oct 11 2008,Leachman /KHSAA Boys' State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1079
I,1078,Oct 07 - Oct 09 2008,Leachman /KHSAA Girls' State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1078
I,1103,Oct 03 - Oct 04 2008,36th Indiana High School Girls State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1103
I,1049,Jun 10 - Jun 11 2008,72nd Annual Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1049
I,1043,May 12 - May 13 2008,OSAA US Bank Les Schwab Tires State Champ.,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1043
I,1001,Dec 27 - Dec 30 2007,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1001
I,892,Oct 05 - Oct 06 2007,Leachman Buick&GMC/KHSAA Girls' State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=892
I,891,Oct 02 - Oct 03 2007,Leachman Buick&GMC/KHSAA Boys' State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=891
I,905,Sep 28 - Sep 29 2007,35th Indiana Girls High School State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=905
I,851,Jun 12 - Jun 13 2007,71st Annual Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=851
I,850,May 14 - May 15 2007,OSAA US Bank Les Schwab Tires State Champ.,https://score.golfstat.com/eventlist.cfm?type=I&eventid=850
I,758,Dec 27 - Dec 30 2006,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=758
I,693,Oct 06 - Oct 07 2006,Leachman Buick&GMC/KHSAA Boys' State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=693
I,692,Oct 03 - Oct 04 2006,Leachman Buick&GMC/KHSAA Girls' State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=692
I,741,Sep 29 - Sep 30 2006,34th Indiana Girls High School State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=741
I,683,Jun 13 - Jun 14 2006,70th Annual Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=683
I,564,Oct 06 - Oct 07 2005,Leachman Buick-GMC-KHSAA Boys' State Golf Tourn.,https://score.golfstat.com/eventlist.cfm?type=I&eventid=564
I,563,Oct 04 - Oct 05 2005,Leachman Buick/GMC-KHSAA Girls' State Golf Tourn.,https://score.golfstat.com/eventlist.cfm?type=I&eventid=563
I,578,Sep 30 - Oct 01 2005,33rd Indiana Girls High School State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=578
I,549,Jun 14 - Jun 15 2005,69th Annual Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=549
I,486,Nov 05 - Nov 07 2004,Teens On The Green,https://score.golfstat.com/eventlist.cfm?type=I&eventid=486
I,481,Oct 15 - Oct 16 2004,Illinois High School Assoc. State Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=481
I,465,Oct 07 - Oct 08 2004,Leachman Buick-GMC-KHSAA Boys' State Golf Tourn.,https://score.golfstat.com/eventlist.cfm?type=I&eventid=465
I,466,Oct 05 - Oct 06 2004,Leachman Buick/GMC-KHSAA Girls' State Golf Tourn.,https://score.golfstat.com/eventlist.cfm?type=I&eventid=466
I,479,Oct 01 - Oct 02 2004,32nd Indiana Girls High School State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=479
I,446,Jun 15 - Jun 16 2004,68th Annual Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=446
I,444,May 17 - May 18 2004,Oregon 4A Boys Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=444
I,378,Oct 17 - Oct 18 2003,Illinois High School Assoc. State Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=378
I,301,Jun 24 - Jun 26 2002,COUNTRY Youth Classic,https://score.golfstat.com/eventlist.cfm?type=I&eventid=301
