tournament_id,event,dates,board_type,label,position,name,score,source_file
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,player,Individual Leaders,T10,Maria Isabella Errichetto,-3,raw/miniboards/pleaderboard_29434.html
29467,The Elite Invitational Boys,Dec 16 - Dec 18 2025,player,Individual Leaders,1,Grant DeLorenzo,-2,raw/miniboards/pleaderboard_29467.html
29467,The Elite Invitational Boys,Dec 16 - Dec 18 2025,player,Individual Leaders,2,Casen Justice,E,raw/miniboards/pleaderboard_29467.html
29467,The Elite Invitational Boys,Dec 16 - Dec 18 2025,player,Individual Leaders,T3,Liam Maclauchlan,+1,raw/miniboards/pleaderboard_29467.html
29467,The Elite Invitational Boys,Dec 16 - Dec 18 2025,player,Individual Leaders,T3,Jager Pain,+1,raw/miniboards/pleaderboard_29467.html
29467,The Elite Invitational Boys,Dec 16 - Dec 18 2025,player,Individual Leaders,T3,Luke Gossett,+1,raw/miniboards/pleaderboard_29467.html
29467,The Elite Invitational Boys,Dec 16 - Dec 18 2025,player,Individual Leaders,T3,Luc Kelty,+1,raw/miniboards/pleaderboard_29467.html
29467,The Elite Invitational Boys,Dec 16 - Dec 18 2025,player,Individual Leaders,T7,Chase Birdwell,+2,raw/miniboards/pleaderboard_29467.html
29467,The Elite Invitational Boys,Dec 16 - Dec 18 2025,player,Individual Leaders,T7,Barron Mundy,+2,raw/miniboards/pleaderboard_29467.html
29467,The Elite Invitational Boys,Dec 16 - Dec 18 2025,player,Individual Leaders,T7,Austin Krahn,+2,raw/miniboards/pleaderboard_29467.html
29467,The Elite Invitational Boys,Dec 16 - Dec 18 2025,player,Individual Leaders,10,Spencer Shropshire,+3,raw/miniboards/pleaderboard_29467.html
29468,The Elite Invitational Girls,Dec 16 - Dec 18 2025,player,Individual Leaders,1,Asterisk Talley,-5,raw/miniboards/pleaderboard_29468.html
29468,The Elite Invitational Girls,Dec 16 - Dec 18 2025,player,Individual Leaders,T2,Reese Wallace,+2,raw/miniboards/pleaderboard_29468.html
29468,The Elite Invitational Girls,Dec 16 - Dec 18 2025,player,Individual Leaders,T2,Macie Rasmussen,+2,raw/miniboards/pleaderboard_29468.html
29468,The Elite Invitational Girls,Dec 16 - Dec 18 2025,player,Individual Leaders,4,Sophia Dyer,+3,raw/miniboards/pleaderboard_29468.html
29468,The Elite Invitational Girls,Dec 16 - Dec 18 2025,player,Individual Leaders,5,Bella Dovhey,+4,raw/miniboards/pleaderboard_29468.html
29468,The Elite Invitational Girls,Dec 16 - Dec 18 2025,player,Individual Leaders,6,Isabella Fernandez,+5,raw/miniboards/pleaderboard_29468.html
29468,The Elite Invitational Girls,Dec 16 - Dec 18 2025,player,Individual Leaders,T7,Lucy Cook,+6,raw/miniboards/pleaderboard_29468.html
29468,The Elite Invitational Girls,Dec 16 - Dec 18 2025,player,Individual Leaders,T7,Alexa Phung,+6,raw/miniboards/pleaderboard_29468.html
29468,The Elite Invitational Girls,Dec 16 - Dec 18 2025,player,Individual Leaders,T9,Maria Isabella Errichetto,+7,raw/miniboards/pleaderboard_29468.html
29468,The Elite Invitational Girls,Dec 16 - Dec 18 2025,player,Individual Leaders,T9,Ein Kim,+7,raw/miniboards/pleaderboard_29468.html
