type_code,event_id,dates,event,url,year,event_family
I,6352,Oct 06 - Oct 08 2014,Leachman Buick-GMC-Cadillac/KHSAA Girls State Golf,https://score.golfstat.com/eventlist.cfm?type=I&eventid=6352,2014,Other
I,4912,Jun 17 - Jun 18 2014,78th Indiana Boys High School State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4912,2014,Other
I,4915,Jun 09 - Jun 11 2014,Connecticut State Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4915,2014,Other
I,4774,Jun 09 - Jun 10 2014,2014 Wisconsin Boys State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4774,2014,Other
I,4775,May 19 - May 19 2014,2014 GHSA State Golf Champions presented by E-Z-Go,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4775,2014,Other
I,4835,May 19 - May 20 2014,OSAA-US Bank-Les Schwab Tires State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4835,2014,Other
I,4772,Apr 17 - Apr 19 2014,Palmetto High School Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4772,2014,Other
I,4516,Dec 27 - Dec 30 2013,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4516,2013,Junior Orange Bowl
I,4501,Nov 11 - Nov 30 2013,High School Test,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4501,2013,Other
I,4111,Oct 14 - Oct 15 2013,Wisconsin Girls State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4111,2013,Other
I,4019,Oct 10 - Oct 12 2013,Leachman Buick-GMC-Cadillac/KHSAA Girls State Golf,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4019,2013,Other
I,4018,Oct 07 - Oct 09 2013,Leachman Buick-GMC_Cadillac/KHSAA Boys State Golf,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4018,2013,Other
I,4407,Oct 04 - Oct 05 2013,41st Indiana High School Girls State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=4407,2013,Other
I,3891,Jun 11 - Jun 12 2013,77th Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3891,2013,Other
I,3815,Jun 03 - Jun 04 2013,2013 Wisconsin Boys State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3815,2013,Other
I,3816,Jun 03 - Jun 10 2013,Connecticut State Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3816,2013,Other
I,3882,May 13 - May 14 2013,OSAA-US Bank-Les Schwab Tires State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3882,2013,Other
I,3684,Mar 28 - Mar 30 2013,Palmetto High School Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3684,2013,Other
I,3544,Dec 27 - Dec 30 2012,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3544,2012,Junior Orange Bowl
I,3344,Oct 08 - Oct 09 2012,Wisconsin Girls State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3344,2012,Other
I,3384,Oct 05 - Oct 06 2012,Leachman Buick-GMC-Cadillac/KHSAA Boys State Golf,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3384,2012,Other
I,3385,Oct 02 - Oct 03 2012,Leachman Buick-GMC-Cadillac/KHSAA Girls State Golf,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3385,2012,Other
I,3331,Sep 28 - Sep 29 2012,40th Indiana High School Girls State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3331,2012,Other
I,3322,Sep 22 - Sep 22 2012,Michigan Girls High School Golf Classic,https://score.golfstat.com/eventlist.cfm?type=I&eventid=3322,2012,Other
I,2987,Jun 12 - Jun 13 2012,76th Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2987,2012,Other
I,2984,Jun 04 - Jun 05 2012,2012 Wisconsin Boys State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2984,2012,Other
I,2966,May 14 - May 15 2012,OSAA-US Bank-Les Schwab Tires State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2966,2012,Other
I,2920,Apr 30 - May 01 2012,Texas UIL State Golf Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2920,2012,Other
I,2822,Apr 05 - Apr 07 2012,Palmetto High School Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2822,2012,Other
I,2710,Dec 27 - Dec 30 2011,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2710,2011,Junior Orange Bowl
I,2334,Oct 10 - Oct 11 2011,Wisconsin Girls State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2334,2011,Other
I,2567,Oct 07 - Oct 08 2011,Leachman Buick-GMC-Cadillac/KHSAA Girls State Golf,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2567,2011,Other
I,2568,Oct 04 - Oct 05 2011,Leachman Buick-GMC-Cadillac/KHSAA Boys State Golf,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2568,2011,Other
I,2547,Sep 30 - Oct 01 2011,39th Indiana High School Girls State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2547,2011,Other
I,2268,Jun 14 - Jun 15 2011,75th Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2268,2011,Other
I,2267,Jun 06 - Jun 07 2011,2011 Wisconsin Boys State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2267,2011,Other
I,2238,May 16 - May 17 2011,OSAA-US Bank-Les Schwab Tires State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2238,2011,Other
