tournament_id,event,course,location,dates,position,player,affiliation,to_par,today,r1,r2,r3,r4,total,round_sum,total_delta,source_file
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T46,Grace Schomin,Kaukauna,+34,+19,87,91,,,178,178,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T46,Addie Sloan,Middleton,+34,+19,87,91,,,178,178,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",50,Hannah Strachota,Divine Savior Holy Angels,+37,+19,90,91,,,181,181,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",51,Josie Thomsen,Janesville Craig,+38,+13,97,85,,,182,182,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",52,Maren Wieme,Verona,+39,+15,96,87,,,183,183,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T53,Arianna Price,Brookfield Central,+40,+15,97,87,,,184,184,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T53,Madie Graves,Brookfield Central,+40,+16,96,88,,,184,184,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T53,Addison Sabel,Oregon,+40,+19,93,91,,,184,184,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T53,Lydia Feran,Prescott,+40,+25,87,97,,,184,184,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T57,Anabelle Stravinski,DeForest,+41,+19,94,91,,,185,185,0,raw/junior_event_pages/player_29296.html
